framestart ,frameend,missed,continued,wrong,total comparisons,totalcomparison11,,,,,,
1,0,0,1,2,,39,,0,1,2,39,39
10,0,1,2,3,,23,,0,2,4,,23
20,0,0,1,3,,24,,0,1,3,,24
30,0,0,2,4,,55,,0,2,4,,55
40,0,0,3,7,,30,,0,3,7,30,30
50,0,0,1,4,,51,,,,,,
60,0,0,6,0,32,32,,,,,,
70,0,0,7,1,,51,,,,,,
80,0,0,3,0,,53,,,,,,
90,0,0,5,1,,55,,,,,,
100,0,0,4,4,,43,,,,,,
110,0,0,3,1,,29,,,,,,
120,0,0,3,0,50,54,,,,,,
130,0,0,2,1,30,32,,,,,,
140,0,0,1,0,,28,,,,,,
150,0,0,2,1,,28,,,,,,
160,0,0,4,1,,38,,,,,,
170,0,0,1,2,19,20,,,,,,
180,0,0,4,2,45,48,,,,,,
190,0,0,2,4,,43,,,,,,
200,0,0,3,3,,39,,,,,,
210,0,0,2,3,,35,,,,,,
220,0,0,2,1,,28,,,,,,
230,0,0,1,2,,28,,,,,,
240,0,0,1,2,,18,,,,,,
250,0,0,1,3,44,48,,,,,,
260,0,0,1,0,,41,,,,,,
270,0,0,3,2,,33,,,,,,
280,0,0,0,0,20,22,,,,,,
290,0,0,2,0,,20,,,,,,
300,0,0,2,2,15,16,,,,,,
310,0,0,3,0,23,23,,,,,,
320,0,0,2,1,,18,,,,,,
330,0,0,1,1,,19,,,,,,
340,0,0,0,2,,5,,,,,,
350,0,0,4,2,20,20,,,,,,
360,0,0,1,0,16,17,,,,,,
370,0,0,4,3,,19,,,,,,
380,0,0,1,2,,60,,,,,,
390,0,0,1,1,,25,,,,,,
400,0,0,2,2,,50,,,,,,
410,0,0,1,1,,34,,,,,,
420,0,0,4,3,,57,,,,,,
430,0,0,2,3,,39,,,,,,
440,0,0,4,2,,71,,,,,,
450,0,0,3,1,74,80,,,,,,
460,0,0,3,2,,62,,,,,,
470,0,0,6,2,40,41,,,,,,
480,0,0,4,1,17,17,,,,,,
490,0,0,5,2,28,29,,,,,,
500,0,0,3,1,30,32,,,,,,
510,0,0,2,1,,19,,,,,,
520,0,0,3,2,,36,,,,,,
530,0,0,5,0,,19,,,,,,
540,0,0,0,2,8,8,,,,,,
550,0,0,3,4,,71,,,,,,
560,0,0,3,3,,87,,,,,,
570,0,0,4,1,65,69,,,,,,
580,0,0,4,2,64,68,,,,,,
590,0,0,1,4,68,73,,,,,,
600,0,0,1,3,51,55,,,,,,
610,0,0,8,1,65,68,,,,,,
620,0,0,5,3,49,52,,,,,,
630,0,0,4,7,53,54,,,,,,
640,0,0,2,4,24,24,,,,,,
650,0,0,3,2,37,38,,,,,,
660,0,0,1,2,18,19,,,,,,
670,0,0,2,1,10,10,,,,,,
680,0,0,0,2,31,32,,,,,,
690,0,0,0,4,26,28,,,,,,
700,0,0,0,4,,64,,,,,,
710,0,0,3,4,58,63,,,,,,
720,0,0,1,3,22,22,,,,,,
730,0,0,2,5,32,33,,,,,,
740,0,0,1,1,17,18,,,,,,
750,0,0,2,0,33,35,,,,,,
760,0,0,2,2,22,23,,,,,,
770,0,0,0,5,13,13,,,,,,
780,0,0,0,2,8,8,,,,,,
790,0,0,3,1,30,32,,,,,,
800,0,0,4,2,31,31,,,,,,
