framestart,frameend,missed,continued,wrong,total comparisons,total11,,missed_p,cont_p,wrong_p,miss10 ,cont10,w10,,
1,10,0,1,2,,47,,,,,,,,,
10,20,1,1,2,,53,,,,,,,,,
20,30,0,1,4,,22,,,,,,,,,
30,40,0,6,2,,67,,,,,,,,,
40,50,0,7,1,,58,,,,,,,,,
50,60,0,2,2,,45,,,,,,,,,
60,69,0,6,0,31,31,,,,,,,,,
70,79,0,4,0,52,56,,,,,,,,,
80,0,1,2,1,46,49,,,,,,,,,
90,0,0,4,2,56,57,,,,,,,,,
100,0,0,5,3,49,50,,,,,,,,,
110,0,0,3,1,30,32,,,,,,,,,
120,0,0,4,1,39,41,,,,,,,,,
130,0,0,3,2,30,32,,,,,,,,,
140,0,0,2,0,26,28,,,,,,,,,
150,0,0,2,1,21,22,,,,,,,,,
160,0,0,4,1,36,38,,,,,,,,,
170,0,0,1,2,19,20,,,,,,,,,
180,0,0,4,2,45,48,,,,,,,,,
190,0,0,2,4,47,49,,,,,,,,,
200,0,0,5,0,,31,,,,,,,,,
210,0,0,2,3,34,35,,,,,,,,,
220,0,0,1,1,27,28,,,,,,,,,
230,0,0,1,2,26,28,,,,,,,,,
240,0,0,1,2,17,18,,,,,,,,,
250,0,0,1,1,44,48,,,,,,,,,
260,0,0,1,0,38,41,,,,,,,,,
270,0,0,3,2,27,27,,,,,,,,,
280,0,0,0,0,20,22,,,,,,,,,
290,0,0,2,0,19,20,,,,,,,,,
301,0,0,2,2,20,21,reeval? ,0,3,1,,,,,
310,0,0,3,0,23,23,,0,3,0,0,1,0,,
320,0,0,2,1,17,18,,0,0,1,,,,,
330,0,0,2,0,18,19,,0,2,1,,,,,0
340,0,0,0,2,5,5,,0,1,1,,,,,1
350,0,0,4,2,20,20,,0,5,1,,,,,0
360,0,0,1,0,16,17,,0,1,1,,,,,0
370,0,0,4,3,,17,,0,7,0,,,,,0
380,0,0,1,0,55,60,,0,2,0,,,,,1
390,0,0,0,2,23,25,,0,1,0,,,,,1
400,0,0,2,1,,48,,0,4,1,,,,,2
410,0,0,0,2,32,34,,0,2,0,,,,,9
420,0,0,2,1,61,65,,0,6,1,,,,,7
430,0,0,2,1,46,48,,0,3,3,,,,,8
440,0,0,1,4,66,70,,0,3,2,,,,,3
450,0,0,3,2,71,76,,0,5,1,,,,,5
460,0,0,4,1,58,62,,0,1,7,,,,,1
470,0,0,6,2,49,51,,0,6,3,,,,,2
480,0,0,4,1,19,19,,0,5,0,,,,,1
490,0,0,6,1,30,31,,0,6,2,,,,23,0
500,0,0,3,1,34,36,,0,2,3,,,,19,0
510,0,0,1,1,26,28,,0,2,2,,,,12,0
520,0,0,4,1,35,36,,0,3,2,,,,29,0
530,0,0,5,0,19,19,,,0,4,1,,,13,0
540,0,0,0,1,11,12,"cont: 1, 2",,0,2,0,,,2,0
550,0,0,3,4,68,71,"cont 1, 2, 3, 4,6 , 9, 10",,0,6,1,,,67,2
560,0,0,1,3,90,96,"cont: 2, 3, 7, 10, 11",wrong: 9,0,5,1,,,84,4
570,0,0,4,2,64,68,"cont: 2, 4,5,6",wrong: 8,0,4,1,,,49,1
580,0,0,2,3,66,71,,,0,1,0,,,70,1
590,0,0,1,4,70,75,,,0,6,0,,,65,3
600,0,0,1,2,60,65,,,,,,,,,
610,0,0,5,1,81,85,,,,,,,,,
620,0,0,4,4,50,53,,,,,,,,,
630,0,0,5,5,68,70,,,,,,,,,
640,0,0,3,3,31,31,,,,,,,,,
650,0,0,3,2,38,39,,,,,,,,,
660,0,0,2,1,28,29,,,,,,,,,
670,0,0,2,1,10,10,,,,,,,,,
680,0,0,0,4,59,64,,,,,,,,,
690,0,0,2,2,37,39,,,,,,,,,
700,0,0,0,4,,64,,,,,,,,,
710,0,0,3,1,,68,,,,,,,,,
720,0,0,1,2,23,24,,,,,,,,,
730,0,0,5,1,32,33,,,,,,,,,
740,0,0,2,0,19,20,,,,,,,,,
750,0,0,2,0,33,35,,,,,,,,,
760,0,0,3,1,25,26,,,,,,,,,
770,0,0,2,3,31,31,,,,,,,,,
780,0,0,1,2,8,8,,,,,,,,,
790,0,0,4,0,33,35,,,,,,,,,
800,0,0,3,3,35,36,,,,,,,,,
