framestart ,frameend,missed,continued,wrong,total comparisons,total11,,,,
1,,1,0,0,,57,,,,
10," 5 : 1,2,3,4,5 ",1,2,1,50,53,,,,
20,,1,0,1,,41,,,,
30,,0,2,1,,76,,,,
40,,0,2,2,,52,,,,
50,,3,0,1,,44,,,,
60,,0,1,0,,33,0,0,0,30
70,,2,1,0,,48,,,,
80,,1,2,0,,49,,,,
90,,0,3,1,,51,,,,
100,,1,2,0,,37,,,,
110,,2,0,0,,29,,,,
120,,0,0,2,37,38,,,,
130,,1,1,0,30,32,,,,
140,,0,0,0,27,29,,,,
150,,1,0,0,21,22,,,,
160,,1,0,0,36,38,,,,
170,,2,0,0,19,20,,,,
180,,2,0,0,45,48,,,,
190,,4,0,0,41,43,,,,
200,,2,0,0,29,29,,,,
210,,2,0,1,30,31,,,,
220,,1,1,0,27,28,,,,
230,,2,1,0,27,29,,,,
240,,2,0,0,17,18,,,,
250,,1,0,0,44,48,,,,
260,,0,0,0,38,41,,,,
270,,2,0,0,27,27,,,,
280,,0,0,0,20,22,,,,
290,,0,1,0,19,20,,,,
300,,2,0,0,20,21,,,,
310,,0,0,0,23,23,,,,
320,,1,0,0,17,18,,,,
330,,0,0,0,18,19,,,,
340,,2,0,0,5,5,,,,
350,,2,0,0,20,20,,,,
360,,0,0,0,16,17,,,,
370,,3,0,0,19,19,,,,
380,,0,0,0,55,60,,,,
390,,1,0,0,23,25,,,,
400,,2,0,0,,50,,,,
410,,1,0,0,32,34,,,,
420,,4,2,0,53,57,,,,
430,,1,0,1,40,42,,,,
440,,2,2,0,69,85,,,,
450,,0,1,0,84,91,,,,
460,,1,1,0,65,70,,,,
470,,2,2,0,40,41,,,,
480,,0,0,1,19,19,,,,
490,,1,2,0,30,31,,,,
500,,1,0,0,30,32,,,,
510,,1,1,0,23,24,,,,
520,,1,1,0,34,35,,,,
530,,0,2,0,19,19,,,,
540,,1,0,0,11,12,,,,
550,,4,1,0,67,70,,,,
560,,2,0,0,96,103, checked again,,,
570,,0,0,2,63,66,,,,
580,,1,3,0,60,64,,,,
590,,2,0,1,68,73,,,,
600,,1,0,0,70,75,,,,
610,,1,2,0,72,75,,,,
620,,4,0,0,38,39,,,,
630,,5,1,0,68,70,,,,
640,,3,0,0,31,31,,,,
650,,2,0,0,38,39,,,,
660,,1,0,0,28,29,,,,
670,,1,0,0,10,10,,,,
680,,2,0,0,31,32,,,,
690,,2,0,0,37,39,,,,
700,,3,0,1,,51,,,,
710,,0,2,1,63,68,,,,
720,,1,0,1,23,25,,,,
730,,1,0,0,37,38,,,,
740,,0,0,0,19,20,,,,
750,,0,0,0,33,35,,,,
760,,1,0,0,25,26,,,,
770,,3,0,0,,31,,,,
780,,2,0,0,8,8,,,,
790,,0,1,0,,35,,,,
800,,3,1,0,,33,,,,
