framestart ,frameend,missed,continued,wrong,total comparisons,total11,time,note
1,,1,0,0,49,49,,
10,,1,0,0,49,51,19.68,
20,,1,1,0,39,39,24.9319,
30,,2,0,1,67,67,,
40,,3,1,0,,50,,
50,,3,0,0,,50,,
60,,0,0,0,,32,,
70,,2,0,0,45,48,,
80,,1,2,0,44,47,396.3466702,
90,,2,0,0,45,46,,
100,,4,0,1,37,37,,
110,,1,1,0,19,29,,
120,,0,0,2,37,38,,
130,,2,0,0,29,31,,
140,,1,0,0,25,27,,note: dist cap -1 missed
150,,1,0,0,21,22,,
160,,1,0,0,36,38,,
170,,2,0,0,19,20,,
180,,2,0,0,45,48,,
190,,4,0,0,37,39,,
200,,2,0,0,29,29,,
210,,3,0,0,30,31,,
220,,1,0,0,,28,,
230,,2,0,0,,29,,
240,,2,0,0,17,18,,
250,,1,0,0,,48,,
260,,0,0,0,38,41,,
270,,0,0,0,20,22,,
280,,0,0,0,20,22,,
290,,0,1,0,19,20,,
300,,2,0,1,,21,,
310,,0,0,0,,13,,
320,,0,0,0,,25,,
330,,0,0,0,18,19,,
340,,2,0,0,5,5,,
350,,2,0,0,20,20,,
360,,0,0,0,16,17,,
370,,3,0,0,19,19,,
380,,2,1,0,,38,,
390,,1,0,0,23,25,,
400,,2,0,0,,50,,
410,,1,0,0,32,34,,
420,,4,2,0,53,57,,
430,,1,0,1,,42,,
440,,2,2,0,,76,,
450,,0,1,0,,91,,
460,,1,0,1,,66,,
470,,1,1,1,,39,,
480,,1,0,0,,19,,
490,,1,1,0,,33,cont: 3,
500,,0,0,0,30,32,,
510,,0,0,0,23,24,missed: 3,
520,,1,0,0,36,36,,
530,,0,0,0,19,20,,
540,,1,0,0,12,12,,
550,,5,0,0,66,70,,
560,,2,0,0,61,93,,
570,,2,0,0,65,66,,
580,,1,1,0,63,60,,
590,,2,0,0,61,74,,
600,,1,0,0,,56,,
610,,2,1,0,,85,,
620,,4,1,0,,39,,
630,,6,1,0,,60,,
640,,3,0,0,,31,,
650,,2,0,0,,39,,
660,,1,0,0,,24,,
670,,1,0,0,,10,,
680,,2,0,0,,32,,
690,,2,0,0,,39,,
700,,4,0,0,,51,,
710,,1,0,0,,68,,
720,,1,0,1,,19,,
730,,1,0,0,,38,,
740,,0,0,0,19,20,,
750,,0,0,0,33,35,,
760,,1,0,0,25,26,,
770,,3,0,0,,31,,
780,,2,0,0,8,8,,
790,,0,0,0,,35,,
800,,4,1,0,,33,,
